,a,b,c,d,e,f,g,h,i
0,-0.017540601529380747,0.501797455712773,0.013337970192878737,0.5206759988386638,-0.004036857182195956,0.7539942550297015,0.021239112830783197,0.8360145666866762,0.1986688294280884
1,-0.032890765393586756,1.4121033401045233,0.04196110724616057,0.7405666445863325,0.004108275113496485,0.730536675432498,0.021269083531014036,0.9005142420913476,0.22560518830338994
2,-0.012163164049004607,0.4803318279331145,0.01827029348245297,0.5435216617164647,-0.025693270512527348,0.7796701917483516,0.012949873691874754,0.9282106477969788,0.20024875510720308
3,-0.003584869184561524,0.3963309808700746,0.043157803603883826,0.5058527393589328,0.010987708979739013,0.6810707652409086,0.025165307816114174,0.8949555409116586,0.19685211123130447
4,-0.020431519551711037,0.5668331485757893,0.012893455396856242,0.575518533638883,-0.03093965142044116,0.7888122448399554,0.011541451952257512,0.9304243494338283,0.20413748250723526
5,-0.01658117986399267,0.5527327304167579,0.02309896911428689,0.5649771545512121,-0.02708160295969208,0.744679029167431,0.009602339731079362,0.9319098866189477,0.2032461597568343
6,-0.011279104632533466,0.5214945592269292,0.026604128553485786,0.5372297606878905,-0.02963373877826137,0.7624146729131913,0.007775357981946215,0.9314070200555232,0.20270262486261972
7,-0.009308617698940926,0.45759862110686883,0.03459877350562769,0.5555342178484974,-0.0152944433610868,0.7661296634966952,0.01264013759513193,0.9052685965670705,0.19980968691195833
8,-0.006229549283174723,0.5561870223769017,0.029729921894114317,0.5315786730024071,-0.03272920155492694,0.7938858877930929,0.006719186923306602,0.9347933252579048,0.20423560676626293
9,-0.013876343517581964,0.5365192532522783,0.024904131845348943,0.5586524067830408,-0.03432882495406894,0.7586930484900573,0.005428895644823775,0.9131000782478214,0.20393234548948602
10,-0.009867108942073752,0.48012024842835993,0.030636470901882214,0.5725470758097282,-0.03168442315770416,0.7852045170915092,0.006572778425898156,0.9149554428647635,0.2023381362678636
11,-0.01335826767330617,0.4368396917731844,0.02264490894543969,0.5606201410854632,-0.03310203937453048,0.7353166957203333,0.006231775695404986,0.9240501147602554,0.20027535491869136
12,-0.013632484296851948,0.5554004684276767,0.023801530304201162,0.5580074207649576,-0.0312408983603942,0.7525879075811057,0.007479479154668699,0.9323126464213549,0.20374629232344246
13,-0.010891839190186232,0.3324373221059828,0.024973683546705816,0.5652940377869997,-0.03235358988210393,0.7663676879971584,0.007089606221801651,0.9121902578711756,0.19806204917821146
14,-0.009900102060289653,-0.04016441607812661,0.028141591375738993,0.560801820448872,-0.03355492264716939,0.7619727061046861,0.005857914913733352,0.9290880408290054,0.17735929559446284
15,-0.0135082255324256,0.6221545637804113,0.02594879003225309,0.6014251241991395,-0.03487580592641094,0.7601801934112647,0.005595702290470118,0.9357214930940286,0.20514916054247456
16,-0.009961228070137705,0.37788372429556666,0.019586599199603774,0.536037737531341,-0.04370894599585535,0.7688272421742667,0.002457803334826665,0.9305107956152499,0.20171438562596583
17,-0.01409577858061077,0.4898684756565643,0.012121810144054267,0.5177831836434874,-0.03986696752100884,0.6897400623081699,0.0030742948296569954,0.891291054743021,0.20212111675080083
18,-0.009628076752989191,0.36909489338817675,0.023821867312276424,0.5428850057591497,-0.040286765165586845,0.7701526680639594,0.0032381310969388432,0.9182996557732717,0.2013221946016015
19,-0.006122854516887428,0.45995878546437646,0.025329461740793837,0.5388368132430915,-0.04050365868747503,0.7599813755700779,0.002681700052842039,0.9010171340352452,0.20339799676715298
20,-0.01068784539942183,0.39945174832412417,0.024931233100659058,0.5485557363615456,-0.04119068278668758,0.761154107948792,0.0021105490709409924,0.9015426733833124,0.20183604902216698
21,-0.007326996734663209,0.45459405073770404,0.026203637353351954,0.5634231458443634,-0.04566783445451629,0.7710412638730426,0.00018822926198138148,0.9147473586846253,0.2040590066457249
22,-0.005865535150436084,0.3013389971692569,0.024984823546064586,0.5387640389820981,-0.04630813990880413,0.7718431010737755,0.00014831499793942218,0.9300560363552273,0.2023132076126339
